id	output
{"blockNumber":"298076243","poolId":"0xc9bc8043294146424a4e4607d8ad837d6a659142822bbaaabc83bb57e7447461","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298135171","poolId":"0xfc7b3ad139daaf1e9c3637ed921c154d1b04286f8a82b805a6c352da57028653","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887270,"tickUpper":887270}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298477559","poolId":"0xfc7b3ad139daaf1e9c3637ed921c154d1b04286f8a82b805a6c352da57028653","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887270,"tickUpper":887270}	{"ok": true, "feeGrowthInside0X128": "55341643409166660094078959298720949947", "feeGrowthInside1X128": "0"}
{"blockNumber":"298477608","poolId":"0xfc7b3ad139daaf1e9c3637ed921c154d1b04286f8a82b805a6c352da57028653","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887270,"tickUpper":887270}	{"ok": true, "feeGrowthInside0X128": "55341643409166660094078959298720949947", "feeGrowthInside1X128": "0"}
{"blockNumber":"298493911","poolId":"0x1e5bc06befed2b29a7b1074cfabe8fe59da21779ad2dcd7bb62b5bc45ba9ca64","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":66840,"tickUpper":76020}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298525575","poolId":"0xb21f3caeea615ddd779309e2240a2bd0d7b4b236c699b65a887c2e1ec96def42","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298545101","poolId":"0x9c3af456ad94a1ca1f452c70de4c16a8069f6572be4915e6179c01def80b480b","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298548090","poolId":"0x9c3af456ad94a1ca1f452c70de4c16a8069f6572be4915e6179c01def80b480b","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298548624","poolId":"0x9c3af456ad94a1ca1f452c70de4c16a8069f6572be4915e6179c01def80b480b","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "28183394127439269807426224607818"}
{"blockNumber":"298548788","poolId":"0x03df2300e83353309c1069ae3ea89c31b361a009f9c36a1de5c8f0afcc45bde8","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298549068","poolId":"0xeecffae1fbb25f6123b4f12e73adec3569dcbe49738033037df511be2018f2bf","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887250,"tickUpper":887250}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298549170","poolId":"0x03df2300e83353309c1069ae3ea89c31b361a009f9c36a1de5c8f0afcc45bde8","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298549556","poolId":"0x03df2300e83353309c1069ae3ea89c31b361a009f9c36a1de5c8f0afcc45bde8","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298873584","poolId":"0x19235486bda85a935bed1024abfc40ed02cd3fb14b43ced1f644b74c9398451a","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298873794","poolId":"0xd490067882c168d16f4f495b25e5843f4935697fa12c1469caab4206c096ad6f","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887270,"tickUpper":887270}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298873968","poolId":"0x1c086a0ddc8d648043e0d83714d72970d353d6e86aa0208a959620dfbb61f9c5","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"298876593","poolId":"0xfc7b3ad139daaf1e9c3637ed921c154d1b04286f8a82b805a6c352da57028653","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-230270,"tickUpper":-223340}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"299588207","poolId":"0x684df001321105149104891d64d4ecce9dfe42aa88f8367b26141faa70f1cc4b","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"299651615","poolId":"0xd9f6d67f109e67b9b28117dcf4aafbc874fbd89f92bdca1a66901a3965582748","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887220,"tickUpper":26400}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"299740406","poolId":"0x517c942e0b4de669d0b266f1d0a9d3c057873eb4a13090d941d4e2c75d5bdc40","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"299740932","poolId":"0x517c942e0b4de669d0b266f1d0a9d3c057873eb4a13090d941d4e2c75d5bdc40","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"299741011","poolId":"0x517c942e0b4de669d0b266f1d0a9d3c057873eb4a13090d941d4e2c75d5bdc40","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"299741145","poolId":"0x517c942e0b4de669d0b266f1d0a9d3c057873eb4a13090d941d4e2c75d5bdc40","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"299753677","poolId":"0x19235486bda85a935bed1024abfc40ed02cd3fb14b43ced1f644b74c9398451a","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "56767823143976578942823914754264449577", "feeGrowthInside1X128": "130323450391136546109427949699"}
{"blockNumber":"299753791","poolId":"0x19235486bda85a935bed1024abfc40ed02cd3fb14b43ced1f644b74c9398451a","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "56767823143976578942823914754264449577", "feeGrowthInside1X128": "130323450391136546109427949699"}
{"blockNumber":"299754392","poolId":"0xb906064872360d184d60f19eeb54d79dc8e23515103954bc5c40aaf6bfacba10","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"299761315","poolId":"0xb906064872360d184d60f19eeb54d79dc8e23515103954bc5c40aaf6bfacba10","stateView":"0x76fd297e2d437cd7f76d50f01afe6160f86e9990","tickLower":-92109,"tickUpper":198}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
