id	output
{"blockNumber":"9506","poolId":"0xdb2c20421239d46bb30a7a73029b7f9b7f166489bfb972057d33cbd7249413a5","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"17954","poolId":"0xcae471c38d68aa1c8899e8b2b91707f176d184f1c9e0c93a7fe1fc013378c8fc","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-887220,"tickUpper":887220}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "20416942015256348641686506958521708292307"}
{"blockNumber":"44905","poolId":"0xa5f23cae4e5c3388c5a8a6b08a83f53e56df8f1a63757e606b362994b68a2361","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"47141","poolId":"0xd18c9dc53c12b0db1bc259ff031cd1ac4330ff30a862383904263b6be006bb02","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-100,"tickUpper":100}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"47725","poolId":"0xd18c9dc53c12b0db1bc259ff031cd1ac4330ff30a862383904263b6be006bb02","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-100,"tickUpper":100}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"48956","poolId":"0xa5f23cae4e5c3388c5a8a6b08a83f53e56df8f1a63757e606b362994b68a2361","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-276374,"tickUpper":-276274}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"92581","poolId":"0xa8b4fc82153ca4a5754630dd46fd91573f63e3a9dbc3252f48f2c4e826c46bb3","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-887272,"tickUpper":887272}	{"ok": true, "feeGrowthInside0X128": "0", "feeGrowthInside1X128": "0"}
{"blockNumber":"136833","poolId":"0xd18c9dc53c12b0db1bc259ff031cd1ac4330ff30a862383904263b6be006bb02","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-100,"tickUpper":100}	{"ok": true, "feeGrowthInside0X128": "138142372619793591748178914135", "feeGrowthInside1X128": "1702171986949053716503973598017"}
{"blockNumber":"136857","poolId":"0xd18c9dc53c12b0db1bc259ff031cd1ac4330ff30a862383904263b6be006bb02","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-100,"tickUpper":100}	{"ok": true, "feeGrowthInside0X128": "138142372619793591748178914135", "feeGrowthInside1X128": "1702171986949053716503973598017"}
{"blockNumber":"136885","poolId":"0xd18c9dc53c12b0db1bc259ff031cd1ac4330ff30a862383904263b6be006bb02","stateView":"0xf3334192d15450cdd385c8b70e03f9a6bd9e673b","tickLower":-100,"tickUpper":100}	{"ok": true, "feeGrowthInside0X128": "138142372619793591748178914135", "feeGrowthInside1X128": "1702171986949053716503973598017"}
