id	output
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x0b95ba21188a6387b8e0e67493ba0a9859da3b454a95ba1175b38502d9b13579"}	[{"salt": "5", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "7333609917010980459"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x694ff968b9ca09789be408bae66b442006832897738c47c99590eadc0e3df2ea"}	[{"salt": "12", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887270, "tickUpper": 887270, "liquidityDelta": "0"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x25d15c23f5a6edac3858e143452ef613165be85493b33c19821319e235c20577"}	[{"salt": "5", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-24378421601097293085"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0xf33e7ade24ff5be9d20327f2ce03d394aab8a63788c2b5012b451390f88ed857"}	[{"salt": "15", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887272, "tickUpper": 887272, "liquidityDelta": "-40530265321547"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0xf62068de52adfa31c2d1804c4a727352bd224e2ed3498256a260fc17687f66de"}	[{"salt": "25", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -200310, "tickUpper": -193380, "liquidityDelta": "-2786566044174"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0xa15919041c02db131fdde0f042715000c57c1bfcd9b308fc652d7ef5bf1239c4"}	[{"salt": "32", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 75120, "tickUpper": 79080, "liquidityDelta": "-260855056229234349764"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x3a6c391160eb9a599136c8f9c3e1f8cc194d170ae621bc7016ea6d083e862820"}	[{"salt": "33", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "99999955936218778"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x7871f8aa8704ef3bcc04c0683460919e4ee42887d36cbaf5dc3239996fd7dd3c"}	[{"salt": "33", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-400000088127620619"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x7ad3686b82a6359e89091e15d9d1d073a6c0ac993b419203e2f603da4fcb35f8"}	[{"salt": "35", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 235260, "tickUpper": 239460, "liquidityDelta": "-31807259041813566783"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x952e08c8023134baeef9c1caef9dc676686313599bcf91ed406e8ffda05d5108"}	[{"salt": "34", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 138180, "tickUpper": 887220, "liquidityDelta": "-32656424914919160152926"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x3c7691d35baa187281c744a277609b93dc9af054bd06899f2adbebd1d7886fba"}	[{"salt": "37", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 28920, "tickUpper": 887220, "liquidityDelta": "0"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x602eb3bc8cb69a8b704629e0bdeeed2ee7a66a6aa329a021368470d4848bf991"}	[{"salt": "37", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 28920, "tickUpper": 887220, "liquidityDelta": "11039612736819290"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0xe76f26c76c65735407475916186ede04189b70b960e988a8d04ac1dbb9e0311b"}	[{"salt": "39", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-999999339043354546"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x00931cb6bffb54c755c5a808592b493af5b4ab79518722d8177a85e27cc156e2"}	[{"salt": "46", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -153960, "tickUpper": -144120, "liquidityDelta": "6504103257703"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x652f955b32002909cd49426b74bfb024cd6882e6ed89b16bae2479ca73587edd"}	[{"salt": "38", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887200, "tickUpper": 138200, "liquidityDelta": "0"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0xa70917c55a73e6b0cb1aa3444f607047b9c9851302124de66506da6efe144b14"}	[{"salt": "37", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 28920, "tickUpper": 887220, "liquidityDelta": "39912233754734136"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0xe46b0a2f497e88045c6175ecca03ff9d1a52c620ea82507ee7ddd86353bdc606"}	[{"salt": "38", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887200, "tickUpper": 138200, "liquidityDelta": "9500006279091945862"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x89611340216ae933496bc73024368e11c0858ef84b01c3e196d113b3fa3428cc"}	[{"salt": "48", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -94020, "tickUpper": -88020, "liquidityDelta": "2380464079054093"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x4244598405065da83f1392cd620e2f2304fc6b9c4d9d977ccdc63ade3cdc2a7f"}	[{"salt": "49", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-24529965966924992147527"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0x248e3212c82986a365134b98d5e867824553d63cc075f74bd9f053b1a4b85091"}	[{"salt": "50", "amount0": "0", "amount1": "3613543", "ordinal": 0, "tickLower": -265680, "tickUpper": -161880, "liquidityDelta": "-7109996155230"}]
{"poolManager":"0x000000000004444c5dc75cb358380d2e3de08a90","txHash":"0xa53f8f1525abeafe5b2467ef669b8afb2c4a127ff3f6400c48b237a818596fb8"}	[{"salt": "53", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-31622807953636181352"}]
